Customer_ID,.pred_class,.pred_Creditworthy,.pred_Non-Creditworthy,Account_Balance,Duration_of_Credit_Month,Payment_Status_of_Previous_Credit,Purpose,Credit_Amount,Value_Savings_Stocks,Length_of_current_employment,Instalment_per_cent,Guarantors,Duration_in_Current_address,Most_valuable_available_asset,Age_years,Concurrent_Credits,Type_of_apartment,No_of_Credits_at_this_Bank,Occupation,No_of_dependents,Telephone,Foreign_Worker
391,Creditworthy,0.986,0.014,Some Balance,24,Paid Up,Home Related,2397,£100-£1000,4-7 yrs,3,None,2,3,35,Other Banks/Depts,2,More than 1,1,1,2,1
116,Creditworthy,0.974,0.026,Some Balance,24,Paid Up,New car,3488,< £100,1-4 yrs,3,None,4,3,23,Other Banks/Depts,2,1,1,1,1,1
353,Creditworthy,0.97,0.03,Some Balance,15,Paid Up,Home Related,1262,£100-£1000,1-4 yrs,4,None,3,2,36,Other Banks/Depts,2,More than 1,1,1,2,1
339,Creditworthy,0.956,0.044,Some Balance,24,No Problems (in this bank),Used car,1585,None,1-4 yrs,4,None,3,2,40,Other Banks/Depts,2,More than 1,1,1,1,1
40,Creditworthy,0.956,0.044,Some Balance,15,No Problems (in this bank),New car,2360,£100-£1000,< 1yr,2,None,2,3,36,Other Banks/Depts,2,1,1,1,2,1
355,Creditworthy,0.952,0.048,Some Balance,36,No Problems (in this bank),Home Related,6304,£100-£1000,4-7 yrs,4,None,4,1,36,Other Banks/Depts,2,More than 1,1,1,1,1
273,Creditworthy,0.948,0.052,Some Balance,10,Paid Up,Home Related,894,£100-£1000,1-4 yrs,4,None,3,2,40,Other Banks/Depts,2,1,1,1,2,1
185,Creditworthy,0.946,0.054,Some Balance,21,No Problems (in this bank),Used car,1591,< £100,1-4 yrs,4,None,3,1,34,Other Banks/Depts,2,More than 1,1,1,1,1
105,Creditworthy,0.944,0.056,Some Balance,21,Paid Up,Home Related,1572,£100-£1000,4-7 yrs,4,None,4,1,36,Other Banks/Depts,2,1,1,1,1,1
91,Creditworthy,0.942,0.058,Some Balance,24,Paid Up,Home Related,2255,£100-£1000,< 1yr,4,None,1,2,54,Other Banks/Depts,2,1,1,1,1,1
63,Creditworthy,0.924,0.076,Some Balance,9,Paid Up,Home Related,3832,£100-£1000,4-7 yrs,1,None,4,1,64,Other Banks/Depts,2,1,1,1,1,1
102,Creditworthy,0.922,0.078,Some Balance,24,No Problems (in this bank),New car,4679,None,1-4 yrs,3,None,3,3,35,Other Banks/Depts,2,More than 1,1,1,2,1
52,Creditworthy,0.922,0.078,No Account,12,No Problems (in this bank),Home Related,2366,£100-£1000,1-4 yrs,3,None,3,3,36,Other Banks/Depts,2,1,1,1,2,1
474,Creditworthy,0.922,0.078,Some Balance,12,No Problems (in this bank),Home Related,939,£100-£1000,1-4 yrs,4,None,2,1,28,Other Banks/Depts,2,More than 1,1,1,2,1
133,Creditworthy,0.922,0.078,Some Balance,9,Paid Up,Home Related,1126,< £100,4-7 yrs,2,None,4,1,49,Other Banks/Depts,2,1,1,1,1,1
250,Creditworthy,0.92,0.08,Some Balance,6,No Problems (in this bank),Home Related,2080,£100-£1000,< 1yr,1,None,2,3,24,Other Banks/Depts,2,1,1,1,1,1
143,Creditworthy,0.918,0.082,Some Balance,9,Paid Up,Used car,2301,< £100,< 1yr,2,None,4,2,22,Other Banks/Depts,1,1,1,1,1,1
159,Creditworthy,0.912,0.088,Some Balance,10,Paid Up,Home Related,1418,< £100,< 1yr,3,None,2,1,35,Other Banks/Depts,1,1,1,1,1,2
141,Creditworthy,0.91,0.09,Some Balance,15,No Problems (in this bank),Home Related,1478,None,< 1yr,4,None,3,1,33,Other Banks/Depts,2,More than 1,1,1,1,1
125,Creditworthy,0.908,0.092,Some Balance,22,Paid Up,Home Related,2675,£100-£1000,4-7 yrs,3,None,4,3,40,Other Banks/Depts,2,1,1,1,1,1
61,Creditworthy,0.904,0.096,Some Balance,24,No Problems (in this bank),Home Related,3148,£100-£1000,< 1yr,3,None,2,3,31,Other Banks/Depts,2,More than 1,1,1,2,1
224,Creditworthy,0.902,0.098,Some Balance,12,Paid Up,New car,2445,£100-£1000,< 1yr,2,None,4,3,26,Other Banks/Depts,1,1,1,1,2,1
245,Creditworthy,0.902,0.098,Some Balance,24,No Problems (in this bank),Home Related,2058,None,< 1yr,4,None,2,1,33,Other Banks/Depts,2,More than 1,1,1,2,1
179,Creditworthy,0.9,0.1,Some Balance,15,No Problems (in this bank),Home Related,5045,£100-£1000,4-7 yrs,1,None,4,3,59,Other Banks/Depts,2,1,1,1,2,1
366,Creditworthy,0.896,0.104,Some Balance,12,Paid Up,Home Related,3059,£100-£1000,1-4 yrs,2,None,4,1,61,Other Banks/Depts,2,1,1,1,1,1
32,Creditworthy,0.892,0.108,Some Balance,12,Paid Up,Home Related,3077,None,< 1yr,2,None,4,3,52,Other Banks/Depts,2,1,1,1,2,1
226,Creditworthy,0.89,0.11,Some Balance,15,Paid Up,New car,3812,< £100,< 1yr,1,None,4,3,23,Other Banks/Depts,2,1,1,1,2,1
118,Creditworthy,0.888,0.112,Some Balance,21,Paid Up,New car,5248,£100-£1000,< 1yr,1,None,3,3,26,Other Banks/Depts,2,1,1,1,1,1
217,Creditworthy,0.882,0.118,Some Balance,12,Paid Up,Used car,1574,None,< 1yr,4,None,2,1,50,Other Banks/Depts,2,1,1,1,1,1
135,Creditworthy,0.88,0.12,Some Balance,12,Paid Up,Used car,2251,None,< 1yr,1,None,2,3,46,Other Banks/Depts,2,1,1,1,1,1
212,Creditworthy,0.88,0.12,Some Balance,15,No Problems (in this bank),Home Related,1532,< £100,< 1yr,4,None,3,3,31,Other Banks/Depts,2,1,1,1,1,1
54,Creditworthy,0.88,0.12,Some Balance,24,Paid Up,New car,2603,£100-£1000,< 1yr,2,None,4,3,28,Other Banks/Depts,1,1,1,1,2,1
368,Creditworthy,0.878,0.122,Some Balance,30,No Problems (in this bank),New car,7596,£100-£1000,4-7 yrs,1,None,4,3,63,Other Banks/Depts,2,More than 1,1,1,1,1
136,Creditworthy,0.878,0.122,Some Balance,12,Paid Up,New car,4675,£100-£1000,< 1yr,1,None,4,3,20,Other Banks/Depts,1,1,1,1,1,1
321,Creditworthy,0.876,0.124,No Account,18,No Problems (in this bank),Home Related,2427,£100-£1000,4-7 yrs,4,None,2,2,42,Other Banks/Depts,2,More than 1,1,1,1,1
277,Creditworthy,0.874,0.126,Some Balance,12,No Problems (in this bank),Used car,1935,None,4-7 yrs,4,None,4,1,43,Other Banks/Depts,2,More than 1,1,1,2,1
151,Creditworthy,0.872,0.128,Some Balance,6,No Problems (in this bank),Home Related,250,£100-£1000,< 1yr,2,None,2,1,41,Other Banks/Depts,2,More than 1,1,1,1,1
74,Creditworthy,0.872,0.128,Some Balance,12,No Problems (in this bank),Home Related,1291,None,< 1yr,4,None,2,2,35,Other Banks/Depts,2,More than 1,1,1,1,1
480,Creditworthy,0.87,0.13,Some Balance,18,Paid Up,Home Related,6761,£100-£1000,< 1yr,2,None,4,3,68,Other Banks/Depts,1,More than 1,1,1,1,1
81,Creditworthy,0.868,0.132,No Account,12,No Problems (in this bank),New car,1804,< £100,< 1yr,3,None,4,2,44,Other Banks/Depts,2,1,1,1,1,1
223,Creditworthy,0.862,0.138,No Account,24,No Problems (in this bank),Used car,2333,£100-£1000,< 1yr,4,None,2,2,29,Other Banks/Depts,2,1,1,1,1,1
238,Creditworthy,0.86,0.14,Some Balance,18,No Problems (in this bank),Used car,3780,None,< 1yr,3,None,2,3,35,Other Banks/Depts,2,More than 1,1,1,2,1
222,Creditworthy,0.86,0.14,No Account,18,Paid Up,Home Related,1941,£100-£1000,< 1yr,4,None,2,2,35,Other Banks/Depts,2,1,1,1,2,1
244,Creditworthy,0.858,0.142,Some Balance,6,Paid Up,Home Related,1595,None,1-4 yrs,3,None,2,2,51,Other Banks/Depts,2,1,1,2,1,1
454,Creditworthy,0.856,0.144,No Account,18,Paid Up,Used car,2462,None,< 1yr,2,None,2,3,22,Other Banks/Depts,2,1,1,1,1,1
113,Creditworthy,0.856,0.144,Some Balance,18,Paid Up,Home Related,1568,< £100,< 1yr,3,None,4,2,24,Other Banks/Depts,1,1,1,1,1,1
405,Creditworthy,0.852,0.148,Some Balance,18,Paid Up,Home Related,1943,None,< 1yr,4,None,4,1,23,Other Banks/Depts,2,1,1,1,1,1
161,Creditworthy,0.852,0.148,Some Balance,18,Paid Up,Home Related,2662,£100-£1000,1-4 yrs,4,None,3,2,32,Other Banks/Depts,2,1,1,1,1,2
243,Creditworthy,0.848,0.152,No Account,12,Paid Up,Home Related,1680,£100-£1000,4-7 yrs,3,None,1,1,35,Other Banks/Depts,2,1,1,1,1,1
249,Creditworthy,0.848,0.152,Some Balance,24,No Problems (in this bank),Used car,5150,None,4-7 yrs,4,None,4,3,33,Other Banks/Depts,2,1,1,1,2,1
400,Creditworthy,0.848,0.152,No Account,18,Paid Up,Home Related,1042,£100-£1000,< 1yr,4,None,2,2,33,Other Banks/Depts,2,1,1,1,1,1
342,Creditworthy,0.842,0.158,Some Balance,18,Paid Up,Used car,3049,None,< 1yr,1,None,1,2,45,Other Banks/Depts,2,1,1,1,1,1
278,Creditworthy,0.842,0.158,Some Balance,48,Paid Up,Home Related,10222,£100-£1000,1-4 yrs,4,None,3,3,37,Other Banks/Depts,2,1,1,1,2,1
55,Creditworthy,0.842,0.158,Some Balance,24,Paid Up,Used car,3062,£100-£1000,4-7 yrs,4,None,3,4,32,Other Banks/Depts,1,1,1,1,2,1
211,Creditworthy,0.84,0.16,Some Balance,12,No Problems (in this bank),Home Related,1264,£100-£1000,4-7 yrs,4,None,4,4,57,Other Banks/Depts,1,1,1,1,1,1
67,Creditworthy,0.84,0.16,No Account,12,Paid Up,Used car,1262,£100-£1000,4-7 yrs,2,None,4,2,49,Other Banks/Depts,2,1,1,1,2,1
240,Creditworthy,0.838,0.162,Some Balance,18,Paid Up,Home Related,2051,None,< 1yr,4,None,1,1,33,Other Banks/Depts,2,1,1,1,1,1
257,Creditworthy,0.838,0.162,Some Balance,18,Paid Up,Home Related,1126,£100-£1000,< 1yr,4,None,2,1,21,Other Banks/Depts,1,1,1,1,2,1
26,Creditworthy,0.836,0.164,Some Balance,12,No Problems (in this bank),Home Related,1655,None,4-7 yrs,2,None,4,1,63,Other Banks/Depts,2,More than 1,1,1,2,1
328,Creditworthy,0.832,0.168,No Account,13,No Problems (in this bank),Home Related,882,None,< 1yr,4,Yes,4,1,23,Other Banks/Depts,2,More than 1,1,1,1,1
200,Creditworthy,0.832,0.168,No Account,18,Paid Up,Home Related,1913,£100-£1000,< 1yr,3,None,3,1,36,Other Banks/Depts,2,1,1,1,2,1
77,Creditworthy,0.828,0.172,Some Balance,30,No Problems (in this bank),Home Related,5771,None,1-4 yrs,4,None,2,3,25,Other Banks/Depts,2,More than 1,1,1,1,1
89,Creditworthy,0.824,0.176,Some Balance,21,Paid Up,Home Related,2923,< £100,< 1yr,1,None,1,3,28,Other Banks/Depts,2,1,1,1,2,1
263,Creditworthy,0.822,0.178,Some Balance,4,No Problems (in this bank),Home Related,1455,None,1-4 yrs,2,None,1,1,42,Other Banks/Depts,2,More than 1,1,2,1,1
396,Creditworthy,0.822,0.178,Some Balance,21,No Problems (in this bank),Home Related,2319,None,< 1yr,2,None,1,3,33,Other Banks/Depts,1,1,1,1,1,1
83,Creditworthy,0.822,0.178,Some Balance,48,No Problems (in this bank),Home Related,12749,£100-£1000,1-4 yrs,4,None,1,3,37,Other Banks/Depts,2,1,1,1,2,1
488,Creditworthy,0.818,0.182,No Account,12,Paid Up,Used car,2762,£100-£1000,4-7 yrs,1,None,2,2,25,Other Banks/Depts,2,1,1,1,2,1
210,Creditworthy,0.816,0.184,No Account,18,No Problems (in this bank),Home Related,1887,£100-£1000,< 1yr,4,None,4,1,28,Other Banks/Depts,2,More than 1,1,1,1,1
109,Creditworthy,0.814,0.186,No Account,24,Paid Up,Home Related,1603,None,4-7 yrs,4,None,4,3,55,Other Banks/Depts,2,1,1,1,1,1
174,Creditworthy,0.814,0.186,Some Balance,24,Paid Up,Home Related,1525,£100-£1000,1-4 yrs,4,None,3,3,34,Other Banks/Depts,2,1,1,2,2,1
378,Creditworthy,0.81,0.19,Some Balance,9,Paid Up,Home Related,1478,None,1-4 yrs,4,None,2,3,22,Other Banks/Depts,2,1,1,1,1,1
329,Creditworthy,0.808,0.192,No Account,7,Paid Up,Home Related,2415,None,< 1yr,3,Yes,2,1,34,Other Banks/Depts,2,1,1,1,1,1
7,Creditworthy,0.806,0.194,No Account,36,No Problems (in this bank),Home Related,2337,None,4-7 yrs,4,None,4,1,36,Other Banks/Depts,2,1,1,1,1,1
10,Creditworthy,0.804,0.196,No Account,11,No Problems (in this bank),Home Related,4771,None,1-4 yrs,2,None,4,2,51,Other Banks/Depts,2,1,1,1,1,1
168,Creditworthy,0.802,0.198,Some Balance,18,No Problems (in this bank),New car,3229,£100-£1000,< 1yr,2,None,4,4,38,Other Banks/Depts,2,1,1,1,2,1
289,Creditworthy,0.802,0.198,No Account,12,Paid Up,Used car,1657,None,< 1yr,2,None,2,1,27,Other Banks/Depts,2,1,1,1,1,1
165,Creditworthy,0.8,0.2,No Account,10,No Problems (in this bank),Home Related,1038,None,1-4 yrs,4,Yes,3,2,49,Other Banks/Depts,2,More than 1,1,1,2,1
158,Creditworthy,0.798,0.202,No Account,10,No Problems (in this bank),Used car,2132,£100-£1000,< 1yr,2,Yes,3,1,27,Other Banks/Depts,1,More than 1,1,1,1,2
294,Creditworthy,0.796,0.204,No Account,6,No Problems (in this bank),Used car,1050,None,< 1yr,4,None,1,2,35,Other Banks/Depts,2,More than 1,1,1,2,2
13,Creditworthy,0.796,0.204,Some Balance,36,No Problems (in this bank),Home Related,6614,None,4-7 yrs,4,None,4,3,34,Other Banks/Depts,2,More than 1,1,1,2,1
57,Creditworthy,0.794,0.206,Some Balance,36,No Problems (in this bank),New car,5842,None,4-7 yrs,2,None,2,2,35,Other Banks/Depts,2,More than 1,1,2,2,1
145,Creditworthy,0.792,0.208,Some Balance,18,No Problems (in this bank),Home Related,2320,None,< 1yr,2,None,3,1,34,Other Banks/Depts,2,More than 1,1,1,1,1
306,Creditworthy,0.79,0.21,No Account,15,No Problems (in this bank),Used car,1433,None,< 1yr,4,None,3,2,25,Other Banks/Depts,1,More than 1,1,1,1,1
235,Creditworthy,0.79,0.21,No Account,18,Paid Up,Used car,3001,None,1-4 yrs,2,None,4,1,40,Other Banks/Depts,1,1,1,1,1,1
5,Creditworthy,0.79,0.21,No Account,6,No Problems (in this bank),Home Related,1957,None,1-4 yrs,1,None,4,3,31,Other Banks/Depts,2,1,1,1,1,1
267,Creditworthy,0.788,0.212,No Account,18,No Problems (in this bank),Used car,1295,None,< 1yr,4,None,1,2,27,Other Banks/Depts,2,More than 1,1,1,1,1
137,Creditworthy,0.782,0.218,No Account,21,No Problems (in this bank),Home Related,2353,None,< 1yr,1,None,4,2,47,Other Banks/Depts,2,More than 1,1,1,1,1
154,Creditworthy,0.782,0.218,Some Balance,12,Paid Up,Home Related,3016,None,< 1yr,3,None,1,3,24,Other Banks/Depts,2,1,1,1,1,1
362,Creditworthy,0.78,0.22,Some Balance,15,No Problems (in this bank),New car,3368,£100-£1000,4-7 yrs,3,None,4,4,23,Other Banks/Depts,1,More than 1,1,1,2,1
197,Creditworthy,0.778,0.222,No Account,6,Paid Up,New car,1352,£100-£1000,< 1yr,1,None,2,2,23,Other Banks/Depts,1,1,1,1,2,1
86,Creditworthy,0.778,0.222,Some Balance,30,No Problems (in this bank),Home Related,2831,None,< 1yr,4,None,2,3,33,Other Banks/Depts,2,1,1,1,2,1
64,Creditworthy,0.776,0.224,No Account,24,Paid Up,Home Related,5084,£100-£1000,4-7 yrs,2,None,4,3,42,Other Banks/Depts,2,1,1,1,2,1
198,Creditworthy,0.776,0.224,Some Balance,24,Paid Up,Home Related,3181,None,< 1yr,4,None,4,2,26,Other Banks/Depts,2,1,1,1,2,1
4,Creditworthy,0.774,0.226,No Account,11,No Problems (in this bank),Home Related,3905,None,< 1yr,2,None,2,1,36,Other Banks/Depts,1,More than 1,1,2,1,1
23,Creditworthy,0.772,0.228,Some Balance,36,Paid Up,Home Related,3919,None,< 1yr,2,None,2,1,23,Other Banks/Depts,2,1,1,1,2,1
479,Creditworthy,0.77,0.23,No Account,30,Paid Up,Used car,3441,< £100,< 1yr,2,Yes,4,3,21,Other Banks/Depts,1,1,1,1,1,1
11,Creditworthy,0.768,0.232,Some Balance,15,Paid Up,Home Related,3556,£100-£1000,< 1yr,3,None,2,4,29,Other Banks/Depts,2,1,1,1,1,1
410,Creditworthy,0.766,0.234,No Account,24,Paid Up,Home Related,1938,None,< 1yr,4,None,3,2,32,Other Banks/Depts,2,1,1,1,1,1
431,Creditworthy,0.764,0.236,No Account,12,Paid Up,Used car,951,< £100,< 1yr,4,None,4,3,27,Other Banks/Depts,1,More than 1,1,1,1,1
252,Creditworthy,0.76,0.24,Some Balance,36,Paid Up,Home Related,1819,None,< 1yr,4,None,4,4,37,Other Banks/Depts,3,1,1,1,2,1
48,Creditworthy,0.76,0.24,Some Balance,12,No Problems (in this bank),Home Related,1412,None,< 1yr,4,Yes,2,1,29,Other Banks/Depts,2,More than 1,1,1,2,1
343,Creditworthy,0.76,0.24,No Account,24,Paid Up,Home Related,1282,< £100,< 1yr,4,None,2,3,32,Other Banks/Depts,2,1,1,1,1,1
160,Creditworthy,0.756,0.244,Some Balance,6,No Problems (in this bank),Home Related,1343,None,4-7 yrs,1,None,4,1,46,Other Banks/Depts,2,More than 1,1,2,1,2
33,Creditworthy,0.756,0.244,Some Balance,24,Paid Up,Home Related,2284,None,1-4 yrs,4,None,2,3,28,Other Banks/Depts,2,1,1,1,2,1
351,Creditworthy,0.756,0.244,No Account,30,Paid Up,Used car,3622,£100-£1000,4-7 yrs,4,None,4,2,57,Other Banks/Depts,1,More than 1,1,1,2,1
25,Creditworthy,0.754,0.246,Some Balance,24,Paid Up,New car,6313,£100-£1000,4-7 yrs,3,None,4,3,41,Other Banks/Depts,2,1,1,2,2,1
253,Creditworthy,0.752,0.248,Some Balance,36,No Problems (in this bank),Used car,7127,None,< 1yr,2,None,4,2,23,Other Banks/Depts,1,More than 1,1,1,2,1
331,Creditworthy,0.75,0.25,No Account,18,Paid Up,Home Related,1113,None,< 1yr,4,Yes,4,1,26,Other Banks/Depts,2,1,1,2,1,1
164,Creditworthy,0.75,0.25,No Account,9,No Problems (in this bank),Home Related,1288,< £100,4-7 yrs,3,Yes,4,1,48,Other Banks/Depts,2,More than 1,1,2,1,2
298,Creditworthy,0.748,0.252,No Account,15,Paid Up,Used car,1845,None,< 1yr,4,Yes,1,2,46,Other Banks/Depts,1,1,1,1,1,1
279,Creditworthy,0.748,0.252,Some Balance,36,Paid Up,Home Related,9055,£100-£1000,< 1yr,2,None,4,4,35,Other Banks/Depts,3,1,1,2,2,1
163,Creditworthy,0.746,0.254,Some Balance,6,No Problems (in this bank),Home Related,1554,None,1-4 yrs,1,None,2,3,24,Other Banks/Depts,1,More than 1,1,1,2,1
270,Creditworthy,0.744,0.256,No Account,12,Paid Up,Home Related,1007,£100-£1000,< 1yr,4,None,1,1,22,Other Banks/Depts,2,1,1,1,1,1
332,Creditworthy,0.742,0.258,Some Balance,6,No Problems (in this bank),Home Related,1323,< £100,4-7 yrs,2,None,4,3,28,Other Banks/Depts,2,More than 1,1,2,2,1
326,Creditworthy,0.742,0.258,No Account,12,Paid Up,Home Related,1092,None,< 1yr,4,Yes,4,1,49,Other Banks/Depts,2,More than 1,1,1,2,1
14,Creditworthy,0.74,0.26,No Account,15,Paid Up,Home Related,1721,None,< 1yr,2,None,3,1,36,Other Banks/Depts,2,1,1,1,1,1
229,Creditworthy,0.738,0.262,Some Balance,12,Paid Up,Home Related,1393,None,4-7 yrs,4,None,4,2,47,Other Banks/Depts,2,More than 1,1,2,2,1
254,Creditworthy,0.736,0.264,Some Balance,36,Paid Up,Used car,3349,None,< 1yr,4,None,2,3,28,Other Banks/Depts,2,1,1,1,2,1
403,Creditworthy,0.736,0.264,No Account,24,Paid Up,Used car,3345,None,4-7 yrs,4,None,2,2,39,Other Banks/Depts,1,1,1,1,2,1
117,Creditworthy,0.736,0.264,No Account,15,Paid Up,Home Related,2631,< £100,< 1yr,3,None,2,1,25,Other Banks/Depts,2,1,1,1,1,1
388,Creditworthy,0.736,0.264,No Account,30,No Problems (in this bank),Used car,8386,None,1-4 yrs,2,None,2,2,49,Other Banks/Depts,2,1,1,1,1,1
107,Creditworthy,0.73,0.27,No Account,30,Paid Up,New car,3857,None,< 1yr,4,None,4,2,40,Other Banks/Depts,2,1,1,1,2,1
